acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_median,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_median,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_median,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_median,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_median,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_median,unique_id,player_id,mode,gender,hold racket handed,play years,level
7102.715368785059,1296.6076162982322,-5510.753253810986,243.4646172868485,-3054.3090828254262,-1320.0049419307006,1824.0825501902596,-5708.13795630092,4963.058927326944,-1874.5462810400848,296.2451891841742,1139.2314796089845,-3759.606676230926,6407.575839856031,573.2783532784647,3802.6882849658664,16610.576567830267,-31326.700213595737,23434.13718302367,10949.659885537592,6878.859677325788,9020.955464270348,-12616.263299075048,31993.278609859357,8448.029017527135,-1180.3864812778784,20195.274718955978,-32768.0,17861.460247162166,-15092.941610749089,13721614,27,9,2,1,2,2
-3159.098338064091,2214.9729108110455,-7988.481481481482,209.7037037037037,-2674.6111111111113,-2170.667969339202,2292.6793734278563,-7537.592592592592,1074.037037037037,-1640.148148148148,-47.733576041795224,2006.0880167666223,-5286.111111111111,2880.740740740741,278.6666666666667,7766.884452946096,22617.766734411503,-32768.0,32767.0,11738.462962962964,9307.288370562344,9431.752735406077,-11299.111111111111,29092.59259259259,9061.833333333334,-614.3055932644974,24101.50237283697,-32724.925925925927,32673.555555555555,-861.8518518518518,791,23,10,1,1,1,2
920.269807643338,5912.97701573563,-6360.890103701955,2693.071912495425,-2720.408909517519,-366.9530902972128,5617.034951861534,-5197.125480737559,2570.4181540165346,-2409.8288243714087,182.24520216338576,1750.222159740854,-5732.750127583481,6487.560787449092,-1140.941846960899,3270.4070876533287,18443.25641989385,-30872.10652918669,30378.879930747786,3818.5718590551182,334.29085236836204,10466.07478737534,-855.2962962962963,10583.101684864763,11123.787428640797,-2833.3992815920196,24881.53073290257,-12343.610270083487,23293.925965938815,-6368.456414843271,1760305,25,9,2,1,2,2
-2943.7120551924477,2591.7705193925567,-9695.407407407409,1255.851851851852,-2567.537037037037,-2534.198983297023,2918.2043847657933,-10883.333333333334,939.4074074074074,-1728.2407407407406,888.1989832970226,1824.3720115657911,-3378.0,5802.481481481482,446.537037037037,7989.813725490197,19667.166157071348,-32768.0,32160.25925925926,12513.111111111111,11123.936456063906,9531.80062955347,-9202.62962962963,32424.444444444445,9809.351851851852,-7037.490196078432,24204.109621491043,-32768.0,32767.0,-13465.555555555557,930,25,9,2,1,2,2
5398.165468656787,1792.3235820805826,-4088.9245036473862,19128.826010684195,-2318.495704284424,-1119.1504052305377,1303.268333289202,-2442.074074074074,1222.339486654203,-2249.5114895093902,1560.3407654097225,1154.8189174732488,-747.7407407407408,4942.929012900204,503.4143904725879,6156.293118935004,3003.8781491618834,-30295.57978537875,31771.875738288047,9195.751376252036,7489.238380954068,11842.608519456178,-17467.34667450192,5296.371893219463,14046.296296296296,-4199.217499744711,23381.988375362227,-12604.933067862548,32767.0,5883.029913081299,16229102,24,5,2,1,1,2
-1824.420126660395,1809.2878777858136,-3578.6079534015844,16574.033156477268,-3210.0593617218674,-821.138054901772,1376.433594813928,-7143.910588038476,3118.6894312067034,-1603.373477219647,161.0418487356634,1253.3025078259618,-3917.0045194298664,6120.802824803854,175.25144814981445,3678.578019748122,4212.988339550993,-30640.11345194414,32767.0,6092.697278637104,2488.382904235555,13927.256434164545,-16432.434592246234,31459.097101170508,10188.625151488144,-8914.534881075822,21459.75446213127,-32768.0,32767.0,-3765.6385110928104,7026571,36,10,2,2,2,2
-2561.932951317465,1793.6088638614249,-7123.037037037037,862.4444444444445,-2244.425925925926,-1736.6894733405163,2194.3898148633384,-7166.074074074074,1581.4444444444443,-1038.648148148148,60.57675145024542,1973.6963933667696,-6176.148148148148,3884.925925925926,510.8148148148149,6428.311598698316,23298.902474634047,-32768.0,32767.0,10211.25925925926,7953.597865717614,13070.832603320756,-20831.333333333332,32708.74074074074,7147.537037037037,-1489.0608450060406,21277.21329720404,-31705.62962962963,32767.0,-7255.777777777777,837,24,9,2,1,2,2
-2855.6272203883473,2002.0612386279076,-7096.448660661434,1063.6008410744205,2295.9903563874877,-1440.2265397538783,2612.908656877353,-8135.633571638943,3834.2766225249743,-1694.6527765905448,-494.2609773238283,1342.1168796583192,-2929.920549426914,7490.505053879067,253.2035317664753,5786.059026875311,8105.721122886933,-31787.809363825065,32738.772600930806,-9116.55313988599,2898.0045076114843,16514.887472444672,-32768.0,11546.877830109495,1704.1834374780542,-8579.328883699296,22647.14748315857,-32768.0,31683.13564290203,-19436.807116901688,12385537,24,7,2,2,2,2
-2285.2936182440208,3917.5164414499154,244.14658425693847,2533.152739143508,-2910.8242582626367,-2584.6366047986207,2166.199385255752,-4554.979093965738,3065.527472426811,-1345.8113346888272,278.57622581672234,1536.4531206749543,-5048.42591835558,4717.798403997771,544.8402118182945,-2428.05134954026,20571.082247189195,-29887.4975866808,2371.4814814814813,3022.1075676912033,12051.4612204671,1380.7465546116644,-21462.077453654456,30641.202086421777,9247.796526463111,-4831.43879899442,23306.08184497157,-30425.78356148707,32767.0,14027.205012196038,9868866,26,9,2,1,2,2
-2758.7007818930047,1786.6804899656615,-6877.0,-232.85185185185185,-2376.4814814814813,-2117.703363262252,2279.2777778132504,-7580.407407407408,1112.962962962963,-1651.6296296296296,268.1789562289562,1682.2924086169942,-3778.444444444444,4178.222222222223,88.01851851851852,8500.322697343809,23322.84476687682,-32768.0,32599.666666666668,18327.962962962964,11586.426509539844,11998.880707749786,-16084.0,32687.185185185182,10514.962962962964,1135.9525925925925,21430.302943920455,-32016.59259259259,32767.0,-3896.9814814814818,561,1,10,1,1,1,5
-2609.6438165804825,1693.4695240236567,-7928.63541541639,1490.266262669515,-2006.57125679517,-1110.2819581811498,1290.7310328776482,-11263.637251007704,5903.518518518518,-999.896638764173,1232.9291411229524,1985.2684028879175,-6458.797809819085,7463.422832992556,492.8392011161756,4740.038898767192,23150.676747438112,-32768.0,2371.4814814814813,9673.819026206033,5526.096873931535,1380.7465546116644,-7799.216774746713,32767.0,6595.247762423458,-4992.47852678644,17769.150638277304,-29889.69310733292,32767.0,6168.862439030181,2178498,25,10,2,1,1,5
